"X","logFC","logCPM","F","PValue","FDR","GeneSymbol"
9390,2.22332119842296,7.71710719043868,38.1052943118183,3.1383802183696e-08,7.52803670562162e-06,"SLC22A13"
3452,0.597656642345871,8.12267934064321,37.7646790284215,3.23647075285828e-08,7.66379676990929e-06,"IFNA21"
3681,1.70520595423196,1.32156400322215,37.2091549336745,3.82141839756331e-08,8.60751192719442e-06,"ITGAD"
28480,1.64771754667243,2.10736626503802,37.1088371589889,4.00182614485556e-08,8.90526854162435e-06,"IGHJ2P"
2653,2.00549073570006,6.61642630404141,36.9291497175397,4.6669504971602e-08,9.64101985516588e-06,"GCSH"
3048,1.67410927055463,1.62690893669881,36.6187590520343,4.69784400089296e-08,9.64101985516588e-06,"HBG2"
7004,0.44531437331777,4.45740229172065,36.3849296059179,5.22693353679213e-08,1.02753649336445e-05,"TEAD4"
229,0.486679391908529,7.86682262704388,35.6970122485477,6.64035359265823e-08,1.23604359542058e-05,"ALDOB"
5252,1.65129230450947,1.7626604338327,35.2637482533476,7.57723570728204e-08,1.34568791839903e-05,"PHF1"
925,0.474850363626605,8.00297016836931,34.8535528693962,8.93883001748652e-08,1.48884733610334e-05,"CD8A"
2906,2.20561130041771,0.352736718594341,34.5355489276692,8.94759362790853e-08,1.48884733610334e-05,"GRIN2D"
28387,1.91412789752774,0.985099303749627,34.7170180990256,9.2411861006767e-08,1.51240942675053e-05,"IGHV5-78"
535,2.15676081775491,0.231196685816228,34.3813384999252,9.252965090569e-08,1.51240942675053e-05,"ATP6V0A1"
28317,1.54421502504435,1.4434823886434,34.2330212867465,1.08316975374234e-07,1.72137412572296e-05,"IGHV4OR15-8"
9127,0.3541073960997,5.97991359974073,33.7062942260788,1.34479029361486e-07,1.97777627926722e-05,"P2RX6"
7812,1.29802129930349,2.04701241990052,33.6189792016586,1.35332697738664e-07,1.97777627926722e-05,"CSDE1"
7043,1.53885132273605,1.99586936645792,33.548907300562,1.4013129956939e-07,2.0115425821532e-05,"TGFB3"
28517,0.51426768641949,8.18069596728195,33.4256740038084,1.48670014151785e-07,2.04920534431602e-05,"TRDV2"
3046,0.66599530065732,6.21833264076998,33.1813889271127,1.62420556609116e-07,2.17384614534085e-05,"HBE1"
8339,0.456999425707202,7.08808238781881,32.9669362968029,1.7533845530043e-07,2.32549334388738e-05,"H2BC8"
26509,0.64639223167195,6.53541215313488,32.7214522681907,1.91593541386346e-07,2.44050531683159e-05,"MYOF"
4659,1.41268724983119,5.79708741488877,32.7947052133951,1.97411781441669e-07,2.49739424878604e-05,"PPP1R12A"
23568,1.20726173867012,0.780615166340728,32.4612372927435,2.02843087916815e-07,2.54864750600243e-05,"ARL2BP"
23613,0.308235538855407,9.51830614718728,32.366923664099,2.17796200641183e-07,2.66403697075672e-05,"ZMYND8"
28653,0.543464913640376,6.44623539364081,32.3171560267513,2.21790552899162e-07,2.67743236081538e-05,"TRAV29DV5"
6224,-0.37564080441288,2.92346726605403,32.2115224676729,2.30068120177432e-07,2.75932349329686e-05,"RPS20"
9493,2.01228941124397,2.81863077827888,31.9396885200656,2.59761369229359e-07,2.98346520547263e-05,"KIF23"
1105,0.924790847457234,2.04651679556796,31.7419906807572,2.65447961059469e-07,3.02643446961012e-05,"CHD1"
2315,1.12216856566866,9.5577689242995,31.8785079993313,2.69459012111536e-07,3.04289719469839e-05,"MLANA"
466,0.369592153923389,7.23348060410496,31.7741953043462,2.70186865149181e-07,3.04289719469839e-05,"ATF1"
2935,0.453291294517921,7.06268227950792,31.6751598350523,2.80131860215415e-07,3.10571953152789e-05,"GSPT1"
9753,0.888560523016464,4.79746072548039,31.6392976754611,2.90686881811668e-07,3.1627231540951e-05,"ZSCAN12"
9479,0.38839089964972,7.52518310369476,31.561266172425,2.92025194787112e-07,3.1627231540951e-05,"MAPK8IP1"
7196,-0.324158012360559,4.11470772990951,31.2325957131346,3.29725426350932e-07,3.52024775994319e-05,"TRG-GCC2-6"
4161,-0.367081737154984,4.34782453427079,31.1317909201214,3.42104360544201e-07,3.59015201093829e-05,"MC5R"
1160,0.97176311401162,1.5375994619645,30.9962393885216,3.45275988862642e-07,3.60296469734068e-05,"CKMT2"
1032,1.3298214844129,1.65609363327406,30.7921611945803,3.76202220532524e-07,3.87418335452093e-05,"CDKN2D"
9168,0.883388584301891,5.71532129449541,30.9208615200454,3.79923376075852e-07,3.87418335452093e-05,"TMSB10"
7993,-0.369904921368001,5.04529671709162,30.606480784356,4.14848262850605e-07,4.1194878574466e-05,"UBXN8"
3323,1.25046872128669,4.52524692828482,30.548011947558,4.42162843045456e-07,4.28888122322683e-05,"HSP90AA4P"
