"","logFC","logCPM","F","PValue","FDR"
"36641",2.55859840721093,4.42989353801227,41.9177887377467,8.6863656447865e-09,3.21009304169374e-06
"37122",2.13207258367752,5.92113405928172,41.9275651945697,8.70843912816059e-09,3.21009304169374e-06
"1350",2.11791116382562,0.123857679215558,40.9558017982333,8.89686833868109e-09,3.21009304169374e-06
"38739",0.638318474602193,3.27066387119676,41.5191994237827,9.03761982501756e-09,3.21009304169374e-06
"16777",2.0317102835671,0.767159325231918,41.0177583029153,1.02026809163429e-08,3.55553804763873e-06
"27552",1.99062410921472,2.15643967419789,41.0755826455113,1.04283175005864e-08,3.56687081918206e-06
"33854",-0.354244485164507,5.53301858958029,40.8019171680483,1.15466855142871e-08,3.87758693543423e-06
"17094",1.41600096560693,1.9901734231758,40.4589724425867,1.2446819919191e-08,4.10522792691888e-06
"5782",0.68569104455225,7.23446585619245,40.4030819863589,1.31952687488429e-08,4.27573006651104e-06
"1538",2.44470685911944,0.680523315111367,39.9652951920543,1.38420487378567e-08,4.40304552512406e-06
"19734",2.16618945781915,0.85520147221905,40.0958230836902,1.40649532204829e-08,4.40304552512406e-06
"27636",2.40587847101178,0.343549925817305,39.6300948537376,1.43196847769871e-08,4.40807629718252e-06
"17170",0.35114723235928,6.88151304490181,39.9432994756041,1.54048346231976e-08,4.66438189328621e-06
"3023",1.75331150233196,3.53473092034333,39.9048407131522,1.646872219137e-08,4.9060854657194e-06
"2157",2.24554288759479,4.53619618384821,39.91404532746,1.68728115922358e-08,4.94667984299359e-06
"27520",2.40699352987088,0.404407027498978,39.0968287750328,1.74874834531485e-08,5.04677842780708e-06
"20508",0.424979957219159,7.47407593664257,39.3342210577228,1.89294130880338e-08,5.37886553439976e-06
"5712",2.08705243028606,0.269670406478097,38.4143950751077,2.25564545673456e-08,6.31238963422536e-06
"23386",0.590501465117127,8.08980609280968,38.6594493332532,2.38156202026352e-08,6.54715941177615e-06
"11590",1.95690887700191,3.1342138470167,38.7420188156958,2.4104322685478e-08,6.54715941177615e-06
"15841",1.30184007510582,3.17706754943411,38.5610614385506,2.5192944831576e-08,6.69103762194531e-06
"5221",1.5944590375436,2.32997507814354,38.4328255270694,2.55343699389124e-08,6.69103762194531e-06
"27478",2.2558646864,9.16489908952297,38.6465322712103,2.59475000398789e-08,6.69103762194531e-06
"35366",1.15690352354427,4.43345101480119,38.5131176925364,2.61628286859008e-08,6.69103762194531e-06
"10936",1.38303863859058,1.91168199299193,38.2391770855761,2.64453571414189e-08,6.69103762194531e-06
"32955",2.07840570846089,0.852901124088163,38.2059312059159,2.69351485655224e-08,6.69865362609289e-06
"6199",1.95874259817064,2.76074245040565,38.3253363318341,2.72008133165656e-08,6.69865362609289e-06
"17449",0.330498683692709,9.43616448357846,38.0591838962026,2.92483039029483e-08,7.1081075406244e-06
"9390",2.22332119842296,7.71710719043868,38.1052943118183,3.1383802183696e-08,7.52803670562162e-06
"3452",0.597656642345871,8.12267934064321,37.7646790284215,3.23647075285828e-08,7.66379676990929e-06
"20577",1.45582593728488,3.52464180271959,37.7683248713574,3.36682099620038e-08,7.87154225314189e-06
"21960",2.46151927666422,3.51355073213242,37.7123207488983,3.45574309107805e-08,7.93081945650509e-06
"37116",1.99671070554885,0.450385143656317,37.314661625135,3.47805292894917e-08,7.93081945650509e-06
"3681",1.70520595423196,1.32156400322215,37.2091549336745,3.82141839756331e-08,8.60751192719442e-06
"28480",1.64771754667243,2.10736626503802,37.1088371589889,4.00182614485556e-08,8.90526854162435e-06
"25280",0.645824982031257,4.52112018789626,36.9942287544654,4.22907587336936e-08,9.23662831569131e-06
"34687",0.476779266733589,5.92522925342318,36.976519237488,4.2507493602261e-08,9.23662831569131e-06
"3967",0.580949971319169,5.88023715647131,36.8902718229067,4.38006552256009e-08,9.37953891469139e-06
"532",-0.384785840574715,7.12735093673986,36.859267069037,4.42594590271963e-08,9.37953891469139e-06
"27542",2.74123801318583,2.69496769028964,36.8785387147437,4.46886531939817e-08,9.37953891469139e-06
"2653",2.00549073570006,6.61642630404141,36.9291497175397,4.6669504971602e-08,9.64101985516588e-06
"3048",1.67410927055463,1.62690893669881,36.6187590520343,4.69784400089296e-08,9.64101985516588e-06
"37063",2.91897653912292,3.47319484457922,36.5617307459139,5.10072285122004e-08,1.02753649336445e-05
"35692",0.465563815386575,3.25074804990719,36.3922719188653,5.18903336774319e-08,1.02753649336445e-05
"7004",0.44531437331777,4.45740229172065,36.3849296059179,5.22693353679213e-08,1.02753649336445e-05
"28075",1.34990335022839,3.52381856747543,36.482788661026,5.22947646866586e-08,1.02753649336445e-05
"32934",0.37403164385797,3.89591900026989,35.9984909941846,5.97905187680918e-08,1.16245355962806e-05
"18275",1.79088684900071,1.01076021919826,35.842814319621,6.17537714239855e-08,1.18811683145939e-05
"35860",0.382529183710256,8.19371620135189,35.7872092553801,6.4335026202326e-08,1.22501848861542e-05
"34707",-0.38685368178443,7.11047159288646,35.7366446949953,6.54874077897741e-08,1.23423716518074e-05
"229",0.486679391908529,7.86682262704388,35.6970122485477,6.64035359265823e-08,1.23604359542058e-05
"37130",2.63309726480599,0.971292478354819,35.5331166861957,6.69216889778333e-08,1.23604359542058e-05
"20583",1.88321901471165,1.48705983985685,35.513682196307,7.0000866470768e-08,1.27596496590007e-05
"34688",0.497760296013266,3.82543614753262,35.5273603031443,7.0500347158215e-08,1.27596496590007e-05
"10416",1.63762635372758,0.315272968300974,35.2831608181134,7.11555990729329e-08,1.27596496590007e-05
